Ward name,Median Household income estimate
City of London,63620
Barking and Dagenham - Abbey,33920
Barking and Dagenham - Alibon,32470
Barking and Dagenham - Becontree,33000
Barking and Dagenham - Chadwell Heath,33920
Barking and Dagenham - Eastbrook,37400
Barking and Dagenham - Eastbury,32870
Barking and Dagenham - Gascoigne,29480
Barking and Dagenham - Goresbrook,33250
Barking and Dagenham - Heath,31340
Barking and Dagenham - Longbridge,40570
Barking and Dagenham - Mayesbrook,31530
Barking and Dagenham - Parsloes,31860
Barking and Dagenham - River,33490
Barking and Dagenham - Thames,32580
Barking and Dagenham - Valence,33200
Barking and Dagenham - Village,31960
Barking and Dagenham - Whalebone,37180
Barnet - Brunswick Park,39800
Barnet - Burnt Oak,29400
Barnet - Childs Hill,38960
Barnet - Colindale,30170
Barnet - Coppetts,38090
Barnet - East Barnet,39870
Barnet - East Finchley,41160
Barnet - Edgware,38410
Barnet - Finchley Church End,45030
Barnet - Garden Suburb,53090
Barnet - Golders Green,40800
Barnet - Hale,38590
Barnet - Hendon,38530
Barnet - High Barnet,43940
Barnet - Mill Hill,41920
Barnet - Oakleigh,41670
Barnet - Totteridge,46150
Barnet - Underhill,37040
Barnet - West Finchley,42050
Barnet - West Hendon,35090
Barnet - Woodhouse,38220
Bexley - Barnehurst,38200
Bexley - Belvedere,33510
Bexley - Blackfen and Lamorbey,40780
Bexley - Blendon and Penhill,40340
Bexley - Brampton,40790
Bexley - Christchurch,40190
Bexley - Colyers,34450
Bexley - Crayford,34900
Bexley - Cray Meadows,35530
Bexley - Danson Park,38580
Bexley - East Wickham,36260
Bexley - Erith,33160
Bexley - Falconwood and Welling,39000
Bexley - Lesnes Abbey,35630
Bexley - Longlands,40880
Bexley - North End,29930
Bexley - Northumberland Heath,37130
Bexley - St. Mary's,44010
Bexley - St. Michael's,38510
Bexley - Sidcup,41220
Bexley - Thamesmead East,32100
Brent - Alperton,31250
Brent - Barnhill,34630
Brent - Brondesbury Park,40020
Brent - Dollis Hill,30990
Brent - Dudden Hill,33470
Brent - Fryent,35590
Brent - Harlesden,27030
Brent - Kensal Green,34640
Brent - Kenton,42190
Brent - Kilburn,34270
Brent - Mapesbury,36830
Brent - Northwick Park,41100
Brent - Preston,35960
Brent - Queens Park,42880
Brent - Queensbury,35110
Brent - Stonebridge,25800
Brent - Sudbury,33530
Brent - Tokyngton,33130
Brent - Welsh Harp,31620
Brent - Wembley Central,31040
Brent - Willesden Green,31390
Bromley - Bickley,47190
Bromley - Biggin Hill,40930
Bromley - Bromley Common and Keston,40510
Bromley - Bromley Town,43460
Bromley - Chelsfield and Pratts Bottom,44850
Bromley - Chislehurst,46250
Bromley - Clock House,41650
Bromley - Copers Cope,43170
Bromley - Cray Valley East,32230
Bromley - Cray Valley West,31740
Bromley - Crystal Palace,34060
Bromley - Darwin,42810
Bromley - Farnborough and Crofton,44590
Bromley - Hayes and Coney Hall,45660
Bromley - Kelsey and Eden Park,44700
Bromley - Mottingham and Chislehurst North,32330
Bromley - Orpington,38090
Bromley - Penge and Cator,36090
Bromley - Petts Wood and Knoll,48530
Bromley - Plaistow and Sundridge,39460
Bromley - Shortlands,48020
Bromley - West Wickham,46210
Camden - Belsize,52680
Camden - Bloomsbury,40340
Camden - Camden Town with Primrose Hill,45840
Camden - Cantelowes,39060
Camden - Fortune Green,46800
Camden - Frognal and Fitzjohns,60310
Camden - Gospel Oak,39990
Camden - Hampstead Town,62840
Camden - Haverstock,35730
Camden - Highgate,47840
Camden - Holborn and Covent Garden,40180
Camden - Kentish Town,41230
Camden - Kilburn,34730
Camden - King's Cross,32890
Camden - Regent's Park,34260
Camden - St. Pancras and Somers Town,30500
Camden - Swiss Cottage,50340
Camden - West Hampstead,46290
Croydon - Addiscombe,38070
Croydon - Ashburton,38600
Croydon - Bensham Manor,33530
Croydon - Broad Green,31000
Croydon - Coulsdon East,42660
Croydon - Coulsdon West,46610
Croydon - Croham,42260
Croydon - Fairfield,39130
Croydon - Fieldway,26720
Croydon - Heathfield,39770
Croydon - Kenley,44160
Croydon - New Addington,28770
Croydon - Norbury,36810
Croydon - Purley,44600
Croydon - Sanderstead,47030
Croydon - Selhurst,31220
Croydon - Selsdon and Ballards,45320
Croydon - Shirley,39500
Croydon - South Norwood,34430
Croydon - Thornton Heath,33720
Croydon - Upper Norwood,37430
Croydon - Waddon,34630
Croydon - West Thornton,32400
Croydon - Woodside,33890
Ealing - Acton Central,36500
Ealing - Cleveland,41730
Ealing - Dormers Wells,29350
Ealing - Ealing Broadway,45540
Ealing - Ealing Common,43600
Ealing - East Acton,32930
Ealing - Elthorne,38970
Ealing - Greenford Broadway,30500
Ealing - Greenford Green,35420
Ealing - Hanger Hill,44760
Ealing - Hobbayne,36220
Ealing - Lady Margaret,32520
Ealing - Northfield,48480
Ealing - North Greenford,36480
Ealing - Northolt Mandeville,31950
Ealing - Northolt West End,28550
Ealing - Norwood Green,29020
Ealing - Perivale,36040
Ealing - South Acton,34300
Ealing - Southall Broadway,27930
Ealing - Southall Green,27150
Ealing - Southfield,50170
Ealing - Walpole,46240
Enfield - Bowes,36300
Enfield - Bush Hill Park,41800
Enfield - Chase,36350
Enfield - Cockfosters,43570
Enfield - Edmonton Green,26010
Enfield - Enfield Highway,29450
